Sheet by Hematite based on 1.1 data provided by @Kaphotics!,,,,,,,,,,,,,,,,,,,,
Pokémon,,Sticker,Lv,Ability,,Item,Moves,Nature,EVs,,,,,,IVs,,,,,
,,,,,,,,,HP,Atk,Def,SpA,SpD,Spe,,,,,,
,Trainer ID 1,,Youngster Tristan,,,,,,,,,,,,,,,,,
,Starly,,5,Keen Eye,,,Tackle / Growl / Quick Attack,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 2,,Youngster Logan,,,,,,,,,,,,,,,,,
,Shinx,,5,Intimidate,,,Tackle / Leer / Thunder Shock,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 3,,Lass Natalie,,,,,,,,,,,,,,,,,
,Bidoof,,3,Unaware,,,Tackle / Growl,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Bidoof,,3,Unaware,,,Tackle / Growl,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 4,,Youngster Michael,,,,,,,,,,,,,,,,,
,Bidoof,,5,Unaware,,,Tackle / Growl / Defense Curl,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Zubat,,5,Inner Focus,,,Absorb / Supersonic / Astonish,Hasty,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 5,,Youngster Tyler,,,,,,,,,,,,,,,,,
,Magikarp,,5,Swift Swim,,,Splash,Naive,0,0,0,0,0,0,0,0,0,0,0,0
,Starly,,5,Keen Eye,,,Tackle / Growl / Quick Attack,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 6,,Lass Samantha,,,,,,,,,,,,,,,,,
,Budew,,7,Poison Point,,,Absorb / Growth / Stun Spore / Worry Seed,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 7,,Lass Sarah,,,,,,,,,,,,,,,,,
,Bidoof,,7,Unaware,,,Tackle / Growl / Defense Curl,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 8,,Bug Catcher Brandon,,,,,,,,,,,,,,,,,
,Kricketot,,7,Shed Skin,,,Growl / Pound / Struggle Bug,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Wurmple,,7,Shield Dust,,,Tackle / String Shot / Poison Sting,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 9,,Aroma Lady Teighler,,,,,,,,,,,,,,,,,
